pump_id,pump_type,status,current_location,lat,lon,dispatch_team,last_updated,dispatch_contact,staff_available,estimated_ready_minutes
HMP-OH-01,HMP,AVAILABLE,"Columbus, OH (OSU)",39.9972,-83.0146,OSU Perfusion Dispatch,2026-02-07 13:48:00,614-555-2001,yes,0
HMP-OH-02,HMP,IN_USE,"Cleveland, OH",41.5036,-81.62,Cleveland OPO Dispatch,2026-02-07 13:52:00,216-555-2002,yes,180
HMP-OH-03,O2-HMP,CLEANING,"Cincinnati, OH",39.1412,-84.506,UC Dispatch,2026-02-07 13:35:00,513-555-2003,yes,60
HMP-OH-04,HMP,AVAILABLE,"Dayton, OH",39.7589,-84.1916,Dayton Dispatch,2026-02-07 13:20:00,937-555-2004,yes,0
HMP-PA-01,HMP,IN_TRANSIT,"Pittsburgh, PA",40.4418,-79.9606,UPMC Dispatch,2026-02-07 13:55:00,412-555-2005,yes,45
HMP-MI-01,HMP,AVAILABLE,"Detroit, MI",42.3546,-83.0581,Detroit Dispatch,2026-02-07 13:42:00,313-555-2006,yes,0
HMP-MI-02,O2-HMP,MAINTENANCE,"Ann Arbor, MI",42.2814,-83.73,UMich Dispatch,2026-02-07 12:00:00,734-555-2007,no,720
HMP-IN-01,HMP,AVAILABLE,"Indianapolis, IN",39.775,-86.176,IU Dispatch,2026-02-07 13:27:00,317-555-2008,yes,0
HMP-KY-01,HMP,AVAILABLE,"Lexington, KY",38.0323,-84.5086,UK Dispatch,2026-02-07 13:10:00,859-555-2009,yes,0
NMP-IL-01,NMP,AVAILABLE,"Chicago, IL",41.894,-87.62,Chicago Perfusion,2026-02-07 13:45:00,312-555-2010,yes,0
HMP-WV-01,HMP,AVAILABLE,"Morgantown, WV",39.6295,-79.9559,WV Dispatch,2026-02-07 12:50:00,304-555-2011,yes,0
HMP-NY-01,HMP,IN_USE,"New York, NY",40.7901,-73.9533,NYC Dispatch,2026-02-07 13:54:00,212-555-2012,yes,240
